date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:48	69/69	---M-Z	200	added ('OK')	image/png	etag:%225eb03f1e-45%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/04.png	C:/Mehar%20Website/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/04.png	(from https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/css/mdb.min.css)
18:13:48	77/77	---M-Z	200	added ('OK')	image/png	etag:%225eb03f1e-4d%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/05.png	C:/Mehar%20Website/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/05.png	(from https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/css/mdb.min.css)
18:13:48	72/72	---M-Z	200	added ('OK')	image/png	etag:%225eb03f1e-48%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/06.png	C:/Mehar%20Website/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/06.png	(from https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/css/mdb.min.css)
18:13:49	77/77	---M-Z	200	added ('OK')	image/png	etag:%225eb03f1e-4d%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/07.png	C:/Mehar%20Website/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/07.png	(from https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/css/mdb.min.css)
18:13:49	90/90	---M-Z	200	added ('OK')	image/png	etag:%225eb03f1e-5a%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/08.png	C:/Mehar%20Website/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/08.png	(from https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/css/mdb.min.css)
18:13:49	87/87	---M-Z	200	added ('OK')	image/png	etag:%225eb03f1e-57%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/09.png	C:/Mehar%20Website/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/img/overlays/09.png	(from https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.17.0/css/mdb.min.css)
18:13:50	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://abhesrivas.github.io/assets/pdf/https://www.aclweb.org/anthology/2020.calcs-1.5.pdf	C:/Mehar%20Website/abhesrivas.github.io/assets/pdf/https_/www.aclweb.org/anthology/2020.calcs-1.5.20.delayed	(from https://abhesrivas.github.io/publications/)
18:13:50	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f1a48a3-247b%22	https://abhesrivas.github.io/assets/pdf/https://www.aclweb.org/anthology/2020.acl-main.107.pdf	C:/Mehar%20Website/abhesrivas.github.io/assets/pdf/https_/www.aclweb.org/anthology/2020.acl-main.107.pdf	(from https://abhesrivas.github.io/publications/)
18:13:51	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f1a48a3-247b%22	https://abhesrivas.github.io/assets/pdf/https://hal.archives-ouvertes.fr/hal-02270527/file/poster-EURNLP.pdf	C:/Mehar%20Website/abhesrivas.github.io/assets/pdf/https_/hal.archives-ouvertes.fr/hal-02270527/file/poster-EURNLP.pdf	(from https://abhesrivas.github.io/publications/)
18:13:51	32944/32944	---M--	200	added ('OK')	application/octet-stream	etag:%225eb03cf0-80b0%22	https://cdnjs.cloudflare.com/ajax/libs/KaTeX/0.11.1/fonts/KaTeX_AMS-Regular.woff2	C:/Mehar%20Website/cdnjs.cloudflare.com/ajax/libs/KaTeX/0.11.1/fonts/KaTeX_AMS-Regular.woff2	(from https://cdnjs.cloudflare.com/ajax/libs/KaTeX/0.11.1/katex.min.css)
